aluno_id,prev_created_at,prev_matematica,prev_linguagens,prev_humanas,prev_natureza,next_matematica,next_linguagens,next_humanas,next_natureza,tests_count,trend_matematica,trend_linguagens,trend_humanas,trend_natureza,rolling_mean_matematica,rolling_mean_linguagens,rolling_mean_humanas,rolling_mean_natureza
8b7fa671-82e2-4a57-90d8-cbd0b92001f8,2026-04-28 20:39:45.191927+00:00,41.0,40.0,40.0,36.0,40.0,36.0,36.0,40.0,7,0.14285714285714152,0.07142857142857176,0.2500000000000008,-0.21428571428571275,41.333333333333336,37.0,40.666666666666664,38.666666666666664
8b7fa671-82e2-4a57-90d8-cbd0b92001f8,2026-04-28 21:35:53.837556+00:00,40.0,36.0,36.0,40.0,43.0,38.0,39.0,43.0,8,-2.608501002027448e-15,-0.10714285714285737,-0.2261904761904786,-0.05952380952381139,40.666666666666664,38.666666666666664,39.333333333333336,38.0
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:01:24.663169+00:00,42.0,39.0,43.0,38.0,41.0,38.0,36.0,32.0,1,,,,,42.0,39.0,43.0,38.0
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:01:47.375982+00:00,41.0,38.0,36.0,32.0,41.0,,,,2,-1.0000000000000084,-1.0000000000000089,-7.000000000000007,-6.000000000000003,41.5,38.5,39.5,35.0
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:03:26.635729+00:00,41.0,,,,39.0,38.0,36.0,36.0,3,-0.4999999999999994,-1.0000000000000089,-7.000000000000007,-6.000000000000003,41.333333333333336,38.5,39.5,35.0
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:03:53.380838+00:00,39.0,38.0,36.0,36.0,44.0,38.0,37.0,35.0,4,-0.8999999999999955,-0.500000000000003,-3.499999999999997,-1.0000000000000049,40.333333333333336,38.0,36.0,34.0
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:04:21.167052+00:00,44.0,38.0,37.0,35.0,41.0,40.0,35.0,34.0,5,0.19999999999999732,-0.3000000000000012,-1.8000000000000003,-0.4999999999999979,41.333333333333336,38.0,36.5,35.5
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:05:01.334810+00:00,41.0,40.0,35.0,34.0,,40.0,40.0,,6,0.057142857142855136,0.19999999999999857,-1.5000000000000029,-0.5000000000000042,41.333333333333336,38.666666666666664,36.0,35.0
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:06:16.344373+00:00,,40.0,40.0,,,,,40.0,7,0.057142857142855136,0.3142857142857137,-0.48571428571428543,-0.5000000000000042,42.5,39.333333333333336,37.333333333333336,34.5
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:07:06.128590+00:00,,,,40.0,41.0,30.0,38.0,36.0,8,0.057142857142855136,0.3142857142857137,-0.48571428571428543,0.42857142857142877,41.0,40.0,37.5,37.0
9c09a49b-5fee-48a1-9710-64f74255b56d,2026-04-28 00:08:07.320983+00:00,41.0,30.0,38.0,36.0,39.0,40.0,40.0,37.0,9,-1.992547279010361e-15,-0.7500000000000006,-0.2857142857142845,0.28571428571428426,41.0,35.0,39.0,38.0
